title,author,rating,url
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling," 4.47 avg rating — 9,529,046 ratings",/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone
"Outlander (Outlander, #1)",Diana Gabaldon," 4.26 avg rating — 1,012,095 ratings",/book/show/10964.Outlander
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson," 4.16 avg rating — 3,082,443 ratings",/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
One Flew Over the Cuckoo's Nest,Ken Kesey," 4.20 avg rating — 715,999 ratings",/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
The Color Purple,Alice Walker," 4.26 avg rating — 651,805 ratings",/book/show/52892857-the-color-purple
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien," 4.39 avg rating — 2,731,574 ratings",/book/show/61215351-the-fellowship-of-the-ring
My Sister's Keeper,Jodi Picoult," 4.10 avg rating — 1,191,923 ratings",/book/show/10917.My_Sister_s_Keeper
Anna Karenina,Leo Tolstoy," 4.08 avg rating — 817,831 ratings",/book/show/15823480-anna-karenina
The Brothers Karamazov,Fyodor Dostoevsky," 4.36 avg rating — 315,441 ratings",/book/show/4934.The_Brothers_Karamazov
A Tree Grows in Brooklyn,Betty  Smith," 4.29 avg rating — 451,844 ratings",/book/show/14891.A_Tree_Grows_in_Brooklyn
A Clockwork Orange,Anthony Burgess," 4.00 avg rating — 693,582 ratings",/book/show/41817486-a-clockwork-orange
The Road,Cormac McCarthy," 3.98 avg rating — 866,366 ratings",/book/show/6288.The_Road
And Then There Were None,Agatha Christie," 4.28 avg rating — 1,268,166 ratings",/book/show/16299.And_Then_There_Were_None
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt," 4.14 avg rating — 616,068 ratings",/book/show/252577.Angela_s_Ashes
"The Golden Compass (His Dark Materials, #1)",Philip Pullman," 4.02 avg rating — 1,486,006 ratings",/book/show/119322.The_Golden_Compass
"Vampire Academy (Vampire Academy, #1)",Richelle Mead," 4.11 avg rating — 633,333 ratings",/book/show/345627.Vampire_Academy
Siddhartha,Hermann Hesse," 4.06 avg rating — 739,882 ratings",/book/show/52036.Siddhartha
To Kill a Mockingbird,Harper Lee," 4.26 avg rating — 5,831,179 ratings",/book/show/2654.To_Kill_a_Mockingbird
It,Stephen King," 4.25 avg rating — 1,054,326 ratings",/book/show/830502.It
"The Shining (The Shining, #1)",Stephen King," 4.26 avg rating — 1,421,601 ratings",/book/show/11588.The_Shining
The Complete Stories and Poems,Edgar Allan Poe," 4.38 avg rating — 244,834 ratings",/book/show/23919.The_Complete_Stories_and_Poems
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice," 4.02 avg rating — 568,480 ratings",/book/show/43763.Interview_with_the_Vampire
Don Quixote,Miguel de Cervantes Saavedra," 3.89 avg rating — 260,543 ratings",/book/show/3836.Don_Quixote
The Poisonwood Bible,Barbara Kingsolver," 4.09 avg rating — 727,200 ratings",/book/show/7244.The_Poisonwood_Bible
